Grant Name / Program,Type,Focus Area(s),Amount / Range,Eligibility / Notes
Startup India Seed Fund Scheme (SISFS),Govt (IN),"Tech, AI, Cybersecurity",Up to ₹50 lakh,"Early-stage, MVP required"
"NIDHI (EIR, PRAYAS, Seed Support)",Govt (IN),"Deep-tech, AI, Cybersecurity",₹10–50 lakh,Incubated startups
MeitY TIDE 2.0,Govt (IN),"AI, Cybersecurity, IoT",₹4–7 lakh,Incubator mentorship
IndiaAI Mission,Govt (IN),"AI, Data, Societal Impact",Variable,Open calls for proposals
NCIIPC AI Grand Challenge,Govt (IN),"AI, Cybersecurity",Up to ₹6 crore,"Multi-stage, national security focus"
USISTEF,Govt (Intl),"AI, Cybersecurity",$100k–$400k,US-India collaboration
EU Horizon Europe,Govt (EU),"AI, Cybersecurity",Variable,International consortia
UNICEF Venture Fund,Multilateral,"AI, Blockchain, Open Source",Up to $100k,"Emerging economies, equity-free"
Google.org Accelerator – Generative AI,Private,AI for Social Impact,$500k–$2M,"Global, social enterprises"
AI Grant (aigrant.org),Private,Open-source AI,$5k–$50k,"Global, open-source"
Climate Change AI Innovation Grants,Private,AI + Climate,Up to $150k,OECD university partner
Survival and Flourishing Fund,Private,"AI Safety, Long-term Impact",Variable,"Global, rolling applications"
Long-Term Future Fund,Private,"AI, Long-term Impact",Variable,"Global, paused until July 2025"
CRDF Global,Private,"Cybersecurity, Science",Variable,"Global, research/business competitions"
Internet Society Cybersecurity Grant,Private,Internet Security,Variable,"Global, practical solutions"
AWS Cloud Credits for Research,Corporate,"AI, Cybersecurity",Cloud credits,"Research, global"
Google for Startups Cloud Program,Corporate,"AI, Cybersecurity",$100k–$200k credits,"Startups, global"
NVIDIA Inception Program,Corporate,"AI, Deep Learning","Resources, support","Startups, global"
"NSF CICI, AI Institutes",Academic,"AI, Cybersecurity",Variable,Research partnerships
Cisco Research Funding,Corporate,"AI, Cybersecurity",Variable,Academic partnerships
