Name & Organizer,Type,Dates / Deadline,Prizes / Funding,Theme / Focus,Eligibility & Application,Citations
"NVIDIA GTC 2026 Hackathons
NVIDIA",Hackathon,"Mar 16–19, 2026","NVIDIA GPUs (e.g., RTX 5090), dev tool credits, blog recognition","AI, cybersecurity, agentic AI, data center security","18+, registration, some in-person required [1][2][3]","[1] https://www.nvidia.com/gtc/#:~:text=Join%20NVIDIA%20GTC%202026,the%20breakthroughs%20shaping%20every; [2] https://developer.nvidia.com/gtc-hackathon#:~:text=Register%20today%20to%20participate,walk%20you%20through%20the; [3] https://developer.nvidia.com/vercel-hackathon#:~:text=Register%20today%20to%20participate,terms%20and%20conditions%2C%20click"
"NVIDIA DPU & DOCA Virtual Hackathons
NVIDIA",Hackathon,"Dec 8–9, 2025 (DPU); Ongoing (DOCA)","DLI credits, blog recognition","Data center/cloud security, DPU innovation","18+, online registration, team review[4]","[4] https://www.nvidia.com/en-us/events/doca-hackathon/#:~:text=Join%20the%20NVIDIA%20DOCA,which%20ideas%20enter%20the"
"NVIDIA x Vercel Hackathon
NVIDIA & Vercel",Hackathon,2025 (TBA),"RTX 5080 GPU, dev credits","AI, cybersecurity, prompt engineering","18+, 2-person teams, in-person for prize [3]","[3] https://developer.nvidia.com/vercel-hackathon#:~:text=Register%20today%20to%20participate,terms%20and%20conditions%2C%20click"
"Google Hackathons 2025–2026
Google",Hackathon,"Multiple, 2025–2026","Cash prizes, Google Labs recognition","Cybersecurity, AI/ML, cloud","Students/professionals, idea/code submission [5]","[5] https://thenewviews.com/google-hackathon/#:~:text=Want%20to%20join%20a,Hence%2C%20it%20is%20important"
"CrowdStrike, AWS, NVIDIA Cybersecurity Startup Accelerator",Accelerator,"Jan 5–Mar 3, 2026
Final pitch: Mar 24, 2026","Mentorship, technical support, potential investment (CrowdStrike Falcon Fund)","Cloud security, AI-driven cybersecurity","Global startups, application by Nov 15, 2025 [6]","[6] https://thefintechtimes.com/crowdstrike-aws-and-nvidia-reveal-2026-cybersecurity-startup-accelerator-cohort/#:~:text=Daniel%20Bernard%2C%20chief%20business,the%20compute%2C%20frameworks%20and"
"Google Cybersecurity Clinics Fund
Google.org",Grant,2024–2026 (rolling),"Up to $1M per US institution, $25M+ total","Cybersecurity clinics, workforce dev","US colleges/universities, rolling application [7][6]","[6] https://thefintechtimes.com/crowdstrike-aws-and-nvidia-reveal-2026-cybersecurity-startup-accelerator-cohort/#:~:text=Daniel%20Bernard%2C%20chief%20business,the%20compute%2C%20frameworks%20and; [7] https://cyberclinics.withgoogle.com/#:~:text=Google%2C%20in%20collaboration%20with,with%20up%20to%20%241M"
"NVIDIA Inception Program
NVIDIA",Accelerator,Ongoing,"Tech, mentorship, credits, no direct cash","AI, cybersecurity, cloud","Startups in AI/cybersecurity, ongoing [8]","[8] https://www.crowdstrike.com/en-us/press-releases/crowdstrike-aws-nvidia-expand-cybersecurity-startup-accelerator/#:~:text=Members%20receive%20a%20personalized,and%20guidance%20from%20technical"
"Cisco Hackathon 2025–2026
Cisco",Hackathon,"Ongoing, regional (India)","Internships, jobs, gadgets, travel","Cybersecurity, networking, AI, IoT","Students, registration, regional focus [9]","[9] https://thenewviews.com/cisco-hackathon/#:~:text=Code%20with%20Cisco%20is,jobs%2C%20and%20sometimes%20additional"
"CISPA European Cybersecurity & AI Hackathon Championship
CISPA",Hackathon,"Feb 14–15, 2026 (regional); Finale TBA","€4,000 (1st), €2,000 (2nd), €1,200 (3rd), €400 (runner-up)","AI, cybersecurity","EU students, 18+, 2-stage registration [10]","[10] https://elsa-ai.eu/cispa-european-cybersecurity-ai-hackathon-championship/#:~:text=Grab%20your%20teammates%20and,invests%20in%20the%20next"
"\*\*@HACK 2026 (Canada’s Student CTF)\*\*
TECHNATION & Hexploit",Hackathon,"Mar 7–8, 2026","Prizes TBA, workshops, networking","CTF, cybersecurity","Student teams, in-person (Canada) [11][12]",[11] https://athackctf.com/#:~:text=Canada%27s%20largest%20student%20cybersecurity%20CTF; [12] https://athackctf.com/#:~:text=March%207%E2%80%938%2C%202026%20%E2%80%A2%20Concordia
"eRaksha Hackathon 2026
eDC IIT Delhi & CyberPeace",Hackathon,"Jan 16–18, 2026 (finale)","Awards, top 20 teams shortlisted","Agentic AI for IoT, deepfake detection","Teams (up to 3), students/professionals [13][14][15]","[13] https://www.cyberchallenge.in/eraksha#:~:text=Grand%20Finale%20%28IIT%20Delhi%29,January%20to%2018%20January; [14] https://www.cyberchallenge.in/eraksha#:~:text=This%2036%2Dhour%20intensive%20event,Deepfake%20Detection%20%26%20Authenticity; [15] https://www.cyberchallenge.in/eraksha#:~:text=Problem%20Statement%3A%20Agentic%20AI,Deepfake%20Detection%20%26%20Authenticity"
"\*\*Hackathon X (India’s Largest CTF)\*\*
Govt. of India & partners",Hackathon,2026 (TBA),"Cash, certificates, training","CTF, cybersecurity","Indian students, CS/InfoSec fields [16]","[16] https://hackathonx.in/#:~:text=Hackathon%20X%3A%20India%27s%20Largest,recognition%20in%20the%20cybersecurity"
"DeveloperWeek 2026 Hackathon
DevNetwork",Hackathon,2026 (TBA),"Sponsor prizes, event passes","Cybersecurity, AI, cloud","Open to all, pre-registration [17]","[17] https://www.developerweek.com/hackathon/#:~:text=1st%20Place%20Prize%3A%20%E2%80%93,everyone%2C%20but%20pre%2Dregistration%20is"
Google.org Consortium of Cybersecurity Clinics Grant,Grant,2023–2026,"$2.2M to UC Berkeley, part of $25M+","Cybersecurity clinics, capacity-building",Consortium members (US) [18],"[18] https://cybersecurityclinics.org/blog/google-fund-to-help-colleges-and-universities-launch-15-new-cybersecurity-clinics-across-the-us/#:~:text=As%20part%20of%20the,the%20capacity%20of%20clinics"
"\*\*Startup India Seed Fund Scheme (SISFS)\*\*
Govt. of India",Grant,Ongoing,"Up to ₹20 lakh (PoC), ₹50 lakh (market entry)","Cybersecurity, innovation",DPIIT-recognized Indian startups [19],"[19] https://www.startupindia.gov.in/#:~:text=National%20Startup%20Day%202026,India%20Seed%20Fund%20Scheme"
"Cipher - Cybersecurity Accelerator
India",Accelerator,Ongoing,"Capital, mentorship, industry links",Cybersecurity startups,"India-based, direct application [20]","[20] https://www.startupindia.gov.in/content/sih/en/ams-application/accelerator-program.html?applicationId=5e53dc1ce4b0bf8415d038ec#:~:text=Cipher%20is%20amongst%20India%E2%80%99s,with%20the%20capital%2C%20connections%2C"
"Karnataka Cybersecurity Accelerator
Karnataka, India",Accelerator,Ongoing,"Incubation, mentorship, funding",Cybersecurity,"Karnataka-based, state portal [21]","[21] https://inc42.com/buzz/karnataka-launches-cybersecurity-accelerator-to-boost-21-startups/#:~:text=Therefore%2C%20through%20its%20first,incubation%20ecosystems%20and%20marquee"
India Accelerator – Cybersecurity Cohort,Accelerator,Ongoing,"4-month program, investor access",Cybersecurity,"India-based, cohort selection",
BRICS/SCO Startup Forums,Challenge/Grant,Ongoing,"Cross-border funding, networking","Cybersecurity, innovation","Indian startups, via Startup India [19]","[19] https://www.startupindia.gov.in/#:~:text=National%20Startup%20Day%202026,India%20Seed%20Fund%20Scheme"
